,0
0,6
1,183
2,181
3,185
4,127
5,13
6,1
7,36
8,10
9,7
10,4
11,126
12,2
13,11
14,12
15,189
16,3
17,0
18,5
19,37
20,156
21,9
22,8
23,157
24,769
25,179
26,743
27,187
28,22
29,101
30,993
31,344
32,235
33,38
34,100
35,234
36,211
37,14
38,94
39,195
40,233
41,59
42,39
43,88
44,89
45,435
46,307
47,798
48,309
49,93
50,197
51,33
52,352
53,681
54,95
55,306
56,15
57,308
58,313
59,269
60,348
61,246
62,703
63,1009
64,347
65,34
66,32
67,30
68,84
69,102
70,586
71,569
72,212
73,119
74,379
75,813
76,1084
77,118
78,31
79,1114
80,35
81,1108
82,241
83,85
84,66
85,254
86,201
87,345
88,73
89,17
90,64
91,205
92,213
93,692
94,795
95,380
96,708
97,747
98,727
99,399
100,67
101,117
102,256
103,659
104,16
105,593
106,736
107,350
108,322
109,818
110,321
111,58
112,812
113,418
114,74
115,188
116,398
117,104
118,400
119,312
120,980
121,63
122,684
123,23
124,421
125,194
126,664
127,378
128,92
129,363
130,250
131,62
132,687
133,787
134,275
135,311
136,654
137,912
138,790
139,814
140,324
141,730
142,417
143,332
144,191
145,316
146,657
147,337
148,416
149,200
150,632
151,273
152,420
153,86
154,20
155,319
156,251
157,789
158,441
159,1006
160,434
161,142
162,383
163,69
164,381
165,923
166,661
167,663
168,318
169,105
170,165
171,331
172,689
173,190
174,723
175,401
176,158
177,328
178,589
179,302
180,691
181,1039
182,21
183,71
184,164
185,65
186,87
187,712
188,475
189,762
190,981
191,184
192,330
193,816
194,628
195,783
196,25
197,28
198,784
199,198
200,979
201,252
202,728
203,817
204,159
205,361
206,325
207,679
208,1025
209,763
210,621
211,113
212,72
213,112
214,196
215,286
216,402
217,262
218,199
219,218
220,422
221,719
222,239
223,419
224,925
225,349
226,793
227,666
228,155
229,26
230,68
231,570
232,946
233,335
234,819
235,327
236,1067
237,314
238,698
239,167
240,50
241,365
242,145
243,382
244,46
245,1012
246,701
247,162
248,70
249,161
250,882
251,168
252,906
253,336
254,219
255,397
256,346
257,931
258,154
259,283
260,110
261,988
262,773
263,24
264,193
265,192
266,255
267,143
268,709
269,1085
270,759
271,144
272,934
273,175
274,432
275,696
276,227
277,111
278,529
279,27
280,44
281,792
282,384
283,103
284,61
285,360
286,403
287,631
288,78
289,935
290,297
291,249
292,99
293,116
294,415
295,785
296,364
297,630
298,288
299,815
300,310
301,19
302,1062
303,362
304,742
305,989
306,611
307,277
308,699
309,1002
310,295
311,315
312,29
313,226
314,431
315,263
316,1001
317,41
318,1109
319,207
320,40
321,729
322,1008
323,771
324,279
325,624
326,51
327,653
328,1092
329,756
330,301
331,176
332,268
333,737
334,915
335,368
336,444
337,717
338,665
339,47
340,367
341,60
342,779
343,764
344,236
345,106
346,300
347,76
348,338
349,675
350,280
351,637
352,1107
353,90
354,107
355,147
356,894
357,178
358,98
359,1116
360,214
361,695
362,677
363,952
364,91
365,79
366,591
367,1086
368,704
369,282
370,539
371,772
372,886
373,535
374,120
375,566
376,724
377,757
378,216
379,18
380,1016
381,209
382,264
383,682
384,1117
385,271
386,1128
387,926
388,738
389,970
390,889
391,366
392,121
393,299
394,746
395,705
396,978
397,45
398,1129
399,439
400,820
401,177
402,673
403,962
404,1028
405,733
406,623
407,811
408,487
409,438
410,732
411,937
412,767
413,404
414,377
415,583
416,964
417,75
418,180
419,146
420,770
421,77
422,774
423,1027
424,778
425,587
426,997
427,511
428,387
429,972
430,720
431,474
432,702
433,875
434,752
435,1127
436,734
437,1005
438,1115
439,936
440,902
441,721
442,1018
443,333
444,203
445,1106
446,284
447,775
448,688
449,260
450,880
451,407
452,821
453,1024
454,674
455,1110
456,483
457,266
458,82
459,134
460,285
461,713
462,293
463,115
464,899
465,1122
466,228
467,96
468,641
469,890
470,1100
471,171
472,707
473,405
474,518
475,613
476,437
477,1072
478,1091
479,686
480,794
481,714
482,359
483,53
484,388
485,124
486,135
487,678
488,108
489,506
490,693
491,208
492,491
493,592
