,0
0,183
1,6
2,1
3,126
4,13
5,181
6,127
7,189
8,37
9,185
10,36
11,11
12,7
13,2
14,5
15,10
16,4
17,0
18,12
19,3
20,9
21,8
22,156
23,157
24,15
25,781
26,118
27,309
28,307
29,14
30,211
31,306
32,808
33,17
34,100
35,101
36,235
37,119
38,233
39,659
40,195
41,234
42,194
43,213
44,212
45,308
46,64
47,32
48,345
49,681
50,712
51,187
52,346
53,475
54,85
55,312
56,35
57,84
58,703
59,39
60,38
61,200
62,34
63,33
64,191
65,251
66,88
67,316
68,661
69,67
70,16
71,692
72,313
73,708
74,66
75,709
76,179
77,379
78,389
79,89
80,25
81,319
82,86
83,586
84,23
85,327
86,687
87,347
88,250
89,65
90,593
91,311
92,241
93,21
94,117
95,380
96,87
97,190
98,325
99,30
100,632
101,1098
102,310
103,116
104,322
105,62
106,58
107,113
108,198
109,315
110,318
111,31
112,331
113,719
114,63
115,59
116,321
117,378
118,168
119,344
120,193
121,24
122,787
123,348
124,399
125,20
126,246
127,239
128,657
129,188
130,762
131,110
132,22
133,789
134,256
135,197
136,400
137,275
138,785
139,420
140,679
141,254
142,184
143,628
144,201
145,112
146,167
147,417
148,818
149,589
150,570
151,743
152,817
153,111
154,196
155,236
156,418
157,401
158,421
159,663
160,793
161,363
162,695
163,813
164,1006
165,416
166,381
167,701
168,314
169,328
170,324
171,814
172,819
173,158
174,336
175,769
176,303
177,664
178,302
179,164
180,419
181,262
182,273
183,790
184,165
185,286
186,68
187,178
188,175
189,361
190,337
191,69
192,180
193,92
194,102
195,159
196,717
197,684
198,906
199,728
200,1009
201,434
202,737
203,199
204,792
205,912
206,591
207,383
208,362
209,227
210,747
211,677
212,44
213,704
214,93
215,422
216,330
217,398
218,691
219,60
220,993
221,816
222,992
223,402
224,207
225,95
226,815
227,382
228,441
229,103
230,70
231,94
232,435
233,61
234,624
235,665
236,45
237,444
238,798
239,988
240,630
241,689
242,795
243,40
244,369
245,301
246,682
247,144
248,697
249,192
250,283
251,432
252,226
253,365
254,269
255,784
256,74
257,529
258,742
259,71
260,277
261,161
262,155
263,145
264,29
265,237
266,583
267,730
268,19
269,297
270,569
271,767
272,18
273,90
274,820
275,727
276,1002
277,228
278,637
279,252
280,1012
281,364
282,154
283,990
284,41
285,75
286,812
287,1016
288,1127
289,143
290,263
291,203
292,249
293,729
294,335
295,1091
296,255
297,1088
298,162
299,98
300,91
301,349
302,279
303,1145
304,403
305,72
306,894
307,415
308,566
309,693
310,377
311,673
312,271
313,120
314,724
315,773
316,1143
317,1110
318,28
319,142
320,360
321,702
322,794
323,367
324,714
325,978
326,705
327,631
328,46
329,73
330,114
331,696
332,1025
333,121
334,1114
335,934
336,1084
337,796
338,878
339,666
340,397
341,1111
342,431
343,685
344,264
345,242
346,99
347,209
348,300
349,759
350,723
351,667
352,753
353,980
354,115
355,204
356,268
357,96
358,613
359,889
360,1018
361,350
362,47
363,1081
364,774
365,778
366,733
367,216
368,438
369,214
370,654
371,674
372,50
373,1109
374,771
375,1108
376,783
377,770
378,1128
379,266
380,722
381,288
382,623
383,260
384,611
385,746
386,351
387,1096
388,829
389,287
390,810
391,1005
392,698
393,554
394,366
395,205
396,51
397,368
398,937
399,713
400,76
401,106
402,107
403,680
404,280
405,77
406,772
407,715
408,1073
409,1115
410,293
411,882
412,710
413,744
414,105
415,972
416,131
417,706
418,800
419,147
420,686
421,1122
422,707
423,526
424,779
425,902
426,338
427,587
428,915
429,1107
430,384
431,146
432,738
433,176
434,385
435,535
436,27
437,79
438,48
439,927
440,299
441,936
442,997
443,763
444,752
445,129
446,760
447,78
448,404
449,97
450,1104
451,206
452,974
453,716
454,172
455,1150
456,653
457,439
458,219
459,423
460,1062
461,1072
462,757
463,931
464,130
465,49
466,295
467,904
468,1100
469,1039
470,821
471,285
472,104
473,396
474,721
475,907
476,135
477,339
478,1070
479,26
480,734
481,282
482,177
483,925
484,218
485,134
486,437
487,946
488,507
489,775
490,1086
491,1151
492,1040
493,764
494,805
495,756
496,732
497,592
498,1067
499,304
500,720
501,1027
502,576
503,736
504,998
505,1103
506,511
507,745
508,933
509,811
510,1116
511,82
512,918
513,952
514,688
515,149
516,766
517,332
518,80
519,513
520,390
521,700
522,1125
523,947
524,675
525,967
526,298
527,359
528,971
529,539
530,694
531,1008
532,801
533,414
534,208
535,148
536,1117
537,899
538,1015
539,970
540,917
541,81
542,333
543,1026
544,171
545,352
546,683
547,676
548,768
549,886
550,424
551,284
552,610
553,1144
554,735
555,1024
556,1119
557,132
558,943
559,873
560,867
561,754
562,436
563,1092
564,968
565,386
566,1079
567,405
568,537
569,612
570,244
571,740
572,979
573,483
574,668
575,83
576,53
577,926
578,1136
579,1023
580,711
581,238
582,949
583,939
584,678
585,890
586,487
587,108
588,427
589,220
590,217
591,109
592,989
593,905
594,412
595,582
596,919
597,542
598,54
599,1066
600,983
601,52
602,1011
603,699
604,809
605,862
606,1064
607,869
608,996
609,133
610,584
611,645
612,546
613,880
614,276
615,718
616,387
617,124
618,962
619,755
620,530
621,128
622,991
623,150
624,935
625,1097
626,55
627,1135
628,391
629,1148
630,1085
631,1037
632,923
633,406
634,1001
635,823
636,173
637,621
638,122
639,638
640,870
641,797
642,1089
643,1078
644,1028
645,900
646,151
647,248
648,765
649,652
650,230
651,425
652,625
653,292
654,1007
655,518
656,1071
657,608
658,588
659,491
660,1083
661,627
662,822
663,945
664,1059
665,169
666,458
667,123
668,125
669,247
670,739
671,651
672,948
673,407
674,1029
675,163
676,440
677,985
678,371
679,1033
680,910
681,1034
682,1003
683,503
684,626
685,221
686,920
687,641
688,243
689,543
690,875
691,1112
692,731
693,1129
694,140
695,506
696,908
697,210
698,669
699,891
700,512
701,370
702,202
703,888
704,892
705,240
706,433
707,982
708,895
709,170
710,903
711,141
712,550
713,376
714,981
715,1019
716,1069
717,854
718,474
719,558
720,174
721,655
722,281
723,924
724,1010
725,1123
726,523
727,459
728,357
729,670
730,885
731,152
732,278
733,1017
734,460
735,229
736,950
737,160
738,893
739,186
740,861
741,341
742,426
743,305
744,57
745,656
746,394
747,253
748,258
749,182
750,514
751,964
752,600
753,1004
754,1106
755,374
756,581
757,877
758,804
759,270
760,56
761,504
762,545
763,552
764,1121
765,1139
766,580
767,671
768,153
769,1094
770,984
771,528
772,139
773,748
774,1093
775,137
776,136
777,476
778,411
779,863
780,872
781,1013
782,922
783,951
784,445
785,1101
786,463
787,928
788,603
789,995
790,452
791,388
792,987
793,799
794,495
795,1060
796,517
797,138
798,353
799,887
800,468
801,481
802,442
803,408
804,1000
805,492
806,690
807,413
808,478
809,461
810,1043
811,470
812,509
813,840
814,909
815,619
816,531
817,750
818,824
819,999
820,372
821,261
822,320
823,538
824,521
825,215
826,410
827,1047
828,334
829,464
830,42
831,500
832,929
833,290
834,896
835,1152
836,448
837,1134
838,548
839,660
840,467
841,916
842,43
843,549
844,358
845,646
846,223
847,294
848,489
849,541
850,601
851,594
852,1082
853,508
854,636
855,876
856,597
857,617
858,520
859,450
860,975
861,976
862,590
863,596
864,618
865,644
866,1074
867,977
868,259
869,515
870,966
871,758
872,786
873,471
874,1032
875,430
876,465
877,494
878,658
879,1014
880,560
881,850
882,848
883,643
884,527
885,930
886,609
887,557
888,556
889,1022
890,751
891,457
892,606
893,942
894,1105
895,453
896,443
897,1095
898,1133
899,536
900,585
901,1056
902,994
903,524
904,568
905,395
906,1057
907,1149
908,615
909,607
910,274
911,1077
912,884
913,225
914,565
915,1075
916,257
917,519
918,911
919,567
920,832
921,649
922,574
923,648
924,291
925,833
926,502
927,865
928,1131
929,1051
930,599
931,898
932,749
933,356
934,265
935,960
936,497
937,858
938,484
939,782
940,944
941,1050
942,505
943,272
944,879
945,883
946,533
947,1146
948,1141
949,477
950,642
951,827
952,373
953,647
954,551
955,289
956,1049
957,1130
958,1102
959,547
960,855
961,662
962,874
963,573
964,473
965,620
966,267
967,578
968,1080
969,835
970,605
971,232
972,516
973,639
974,355
975,449
976,616
977,788
978,501
979,959
980,741
981,493
982,629
983,1054
984,1142
985,965
986,633
987,231
988,958
989,1041
990,317
991,488
992,1087
993,522
994,498
995,1118
996,851
997,532
998,634
999,485
1000,598
1001,561
1002,562
1003,837
1004,1068
1005,340
1006,913
1007,956
1008,575
1009,354
1010,496
1011,1147
1012,776
1013,1038
1014,901
1015,853
1016,932
1017,462
1018,224
1019,534
1020,166
1021,454
1022,480
1023,780
1024,1036
1025,914
1026,622
1027,940
1028,540
1029,969
1030,602
1031,451
1032,375
1033,326
1034,595
1035,342
1036,428
1037,864
1038,761
1039,635
1040,825
1041,871
1042,640
1043,1090
1044,866
1045,725
1046,579
1047,571
1048,846
1049,469
1050,446
1051,868
1052,1132
1053,456
1054,479
1055,1140
1056,843
1057,941
1058,847
1059,830
1060,836
1061,897
1062,1065
1063,973
1064,553
1065,1099
1066,860
1067,672
1068,544
1069,1042
1070,1031
1071,986
1072,849
1073,409
1074,852
1075,953
1076,1030
1077,856
1078,1046
1079,499
1080,1124
1081,482
1082,564
1083,1053
1084,844
1085,614
1086,323
1087,1137
1088,963
1089,572
1090,828
1091,1045
1092,1113
1093,1061
1094,1021
1095,1055
1096,447
1097,559
1098,329
1099,1020
1100,1052
1101,826
1102,650
1103,921
1104,1058
1105,222
1106,1126
1107,1076
1108,296
1109,455
1110,577
1111,806
1112,392
1113,1120
1114,245
1115,1138
1116,777
1117,466
1118,802
1119,938
1120,472
1121,429
1122,803
1123,881
1124,807
1125,838
1126,726
1127,490
1128,839
1129,841
1130,842
1131,343
1132,1044
1133,510
1134,1063
1135,845
1136,393
1137,834
1138,525
1139,1035
1140,604
1141,831
1142,486
1143,555
1144,563
1145,961
1146,1048
1147,957
1148,955
1149,954
1150,857
1151,859
1152,791
