,0
0,3554.75
1,1370.36
2,1351.7
3,1218.74
4,4768.7
5,6255.0
6,6345.89
7,4683.02
8,9626.83
9,2848.43
10,2505.56
11,2231.92
12,1741.05
13,1220.42
14,2746.99
15,753.12
16,4405.83
17,4845.38
18,1781.81
19,1707.63
20,2208.42
21,4146.72
22,2307.54
23,5580.4
24,2402.64
25,2050.52
26,814.52
27,1745.9
28,1412.16
29,4994.67
30,5681.98
31,2629.97
32,981.1
33,1458.52
34,837.04
35,8477.96
36,10838.1
37,2296.1
38,420.09
39,2092.11
40,12419.38
41,11048.42
42,586.61
43,2364.5
44,5300.07
45,733.3
46,1304.51
47,3583.08
48,2178.02
49,5925.33
50,4451.62
51,2868.95
52,2978.41
53,819.69
54,588.74
55,3512.56
56,1192.45
57,1186.07
58,3329.65
59,907.47
60,810.76
61,1405.1
62,6526.19
63,1232.9
64,3392.07
65,1456.77
66,1209.22
67,2452.04
68,681.82
69,6550.75
70,5045.52
71,6417.23
72,1967.2
73,2372.22
74,2322.0
75,2402.35
76,1293.74
77,5113.35
78,1834.48
79,1506.15
80,3090.51
81,3468.33
82,3008.31
83,1957.6
84,766.89
85,1403.67
86,760.02
87,10241.32
88,3021.26
89,3188.31
90,3522.9
91,1643.26
92,589.79
93,16788.16
94,1491.26
95,2559.0
96,1215.46
97,3251.83
98,1550.05
99,5145.92
100,2709.4
101,12045.98
102,4809.26
103,2483.24
104,4923.05
105,873.36
106,1505.35
107,854.36
108,1271.1
109,3852.23
110,2671.31
111,1817.61
112,862.47
113,1956.83
114,4681.72
115,3718.8
116,965.74
117,1237.14
118,891.6
119,4103.67
120,541.65
121,5610.1
122,1331.36
123,2713.82
124,6640.32
125,519.58
126,20184.99
127,3355.09
128,738.33
129,864.21
130,1647.06
131,1223.44
132,5744.07
133,535.63
134,3150.03
135,1133.64
136,1935.03
137,4053.04
138,1496.99
139,1438.38
140,3406.41
141,397.51
142,9947.04
143,6670.29
144,1218.38
145,2157.58
146,1329.61
147,1323.82
148,5895.77
149,4523.69
150,937.53
151,1558.32
152,2913.15
153,1353.39
154,2292.74
155,2410.48
156,10769.86
157,1901.15
158,1236.0
159,9554.49
160,833.68
161,7724.82
162,5419.96
163,3245.92
164,1769.8
165,1992.52
166,4079.71
167,663.01
168,4593.57
169,585.06
170,902.91
171,508.07
172,5635.1
173,2375.35
174,549.38
175,11578.73
176,5016.9
177,4247.9
178,1951.74
179,579.52
180,1879.8
181,1101.22
182,958.62
183,3286.05
184,5212.56
185,5171.97
186,1757.16
187,2171.77
188,1105.59
189,874.51
190,812.34
191,614.27
192,847.74
193,3882.3
194,2103.34
195,8762.91
196,1934.81
197,4790.62
198,528.73
199,6392.73
200,18093.97
201,4730.48
202,2540.11
203,902.05
204,2035.54
205,15903.12
206,917.97
207,5129.38
208,4053.92
209,2454.37
210,1514.73
211,12791.91
212,2528.01
213,4101.85
214,782.21
215,1392.9
216,906.22
217,1192.6
218,1347.84
219,5559.2
220,909.9
221,4674.12
222,2616.96
223,1518.32
224,1790.33
225,4885.01
226,4850.61
227,1287.1
228,1054.0
229,615.76
230,191.79
231,5810.09
232,1075.78
233,852.95
234,2540.01
235,1561.3
236,789.29
237,2412.64
238,2324.5
239,7326.02
240,1214.03
241,8610.93
242,994.8
243,2288.62
244,2975.31
245,6757.04
246,745.24
247,1666.34
248,1769.84
249,4312.21
250,1276.08
251,1073.31
252,5420.82
253,5399.15
254,1837.04
255,4989.13
256,1567.63
257,13011.5
258,2862.17
259,1500.79
260,1397.19
261,5907.57
262,3152.69
263,20327.61
264,528.66
265,2911.42
266,2936.19
267,5665.51
268,1615.9
269,7094.05
270,1447.88
271,965.85
272,931.8
273,5697.89
274,1872.3
275,701.49
276,1651.43
277,580.94
278,749.5
279,1825.88
280,4515.39
281,4363.41
282,789.15
283,1837.13
284,3752.31
285,396.53
286,2029.82
287,1957.87
288,3125.95
289,1007.48
290,2981.01
291,3242.02
292,1595.52
293,1330.64
294,6162.91
295,736.32
296,4310.38
297,706.25
298,4699.96
299,5942.28
300,7339.68
301,831.62
302,10603.79
303,1167.47
304,4364.91
305,2090.78
306,2495.58
307,3833.98
308,6628.36
309,2014.74
310,1091.64
311,916.46
312,2561.1
313,1401.28
314,1319.91
315,2965.76
316,1682.91
317,1203.61
318,1331.88
319,4557.3
320,4666.88
321,2272.02
322,3570.96
323,4634.38
324,1459.65
325,10133.15
326,2259.59
327,2037.86
328,906.27
329,3599.58
330,1119.18
331,5777.08
332,962.82
333,2730.63
334,1297.41
335,6231.02
336,994.33
337,1335.99
338,890.72
339,1408.17
340,1821.77
341,2047.45
342,4121.89
343,14068.95
344,6922.69
345,1546.93
346,1184.81
347,926.64
348,1523.43
349,5953.36
350,1560.09
351,1053.54
352,3414.2
353,732.69
354,2181.89
355,7840.16
356,1867.87
357,1353.96
358,5545.21
359,1077.86
360,1081.72
361,5303.39
362,3835.17
363,698.18
364,820.78
365,782.35
366,5015.47
367,3101.32
368,3749.51
369,21241.96
370,5641.47
371,3090.28
372,3523.64
373,2630.53
374,1306.65
375,1350.75
376,1444.97
377,5840.52
378,5931.73
379,7330.05
380,5857.73
381,3882.0
382,2335.68
383,1657.87
384,1506.32
385,1376.18
386,5958.88
387,6120.22
388,1995.52
389,2341.66
390,2766.42
391,2130.57
392,3207.78
393,1931.29
394,1060.04
395,9451.33
396,2059.44
397,2821.41
398,1553.22
399,4330.34
400,20761.73
401,6396.85
402,561.6
403,2972.77
404,2420.55
405,713.17
406,2822.52
407,7513.23
408,1640.18
409,5731.54
410,1015.33
411,2146.36
412,1065.1
413,1021.62
414,1902.0
415,5360.83
416,1327.72
417,1163.56
418,2090.77
419,1645.19
420,3739.27
421,1122.02
422,2305.81
423,627.69
424,4950.27
425,5643.37
426,1251.94
427,1783.75
428,2790.61
429,2113.72
430,618.69
431,1426.49
432,3893.03
433,1232.14
